freq	prev	p.freq	p.prev	p	contaminant
1608628	4.52026549178412e-05	9	NA	0.898004294556019	0.898004294556019	FALSE
81	8.10403130270695e-05	13	NA	0.961685823754789	0.961685823754789	FALSE
53399	3.16647364772335e-05	9	NA	0.898004294556019	0.898004294556019	FALSE
1427356	0	0	NA	NA	NA	FALSE
717785	6.57136704639066e-05	10	NA	0.918403435644815	0.918403435644815	FALSE
1484898	6.83208455350392e-05	13	NA	0.961685823754789	0.961685823754789	FALSE
1384459	8.17642373098214e-05	10	NA	0.918403435644815	0.918403435644815	FALSE
1068	0	0	NA	NA	NA	FALSE
1069	1.40489345463652e-07	1	NA	NA	NA	FALSE
29407	1.97112541684194e-05	6	NA	0.813586796345417	0.813586796345417	FALSE
77032	7.36758605954483e-06	1	NA	NA	NA	FALSE
674703	0.00205165128713887	16	NA	0.984948002189381	0.984948002189381	FALSE
1734920	0	0	NA	NA	NA	FALSE
1235591	0.000446400670294446	17	NA	0.98957938613111	0.98957938613111	FALSE
119045	0.000233565805993674	16	NA	0.984948002189381	0.984948002189381	FALSE
407	0.00111584102772621	16	NA	0.984948002189381	0.984948002189381	FALSE
